id,name,lastname,price,flycode,typePassenger,statusFlight
119,Glenda,Gutierrez,37000,MM0987B,En Horario,ExecutiveClass
120,Lorettalorna,Navarro,25000,MM0987B,En Horario,ExecutiveClass
121,Patrizio,Torres,15000,IB0800A,Aterrizado,ExecutiveClass
122,Linda,Dominguez,30000,IB0800A,Aterrizado,ExecutiveClass
123,Pippa,Vazquez,20000,IB0800A,Aterrizado,ExecutiveClass
124,Pen,Ramos,18000,IB0800A,Aterrizado,EconomyClass
125,Esteban,Gonzalez,15000,IB0800A,Aterrizado,EconomyClass
126,Fonzie,Munoz,15000,IB0800A,Aterrizado,EconomyClass
127,Cindelyn,Rojas,12000,IB0800A,Aterrizado,EconomyClass
128,Zacharie,Diaz,30000,BA2491A,Aterrizado,ExecutiveClass
129,Vina,Perez,42000,BA2491A,Aterrizado,ExecutiveClass
130,Omero,Soto,10000,BA2491A,Aterrizado,ExecutiveClass
131,Tom,Contreras,33000,BA2491A,Aterrizado,ExecutiveClass
132,Dante,Silva,30000,BA2491A,Aterrizado,ExecutiveClass
133,Cordy,Martinez,18000,BA2491A,Aterrizado,ExecutiveClass
134,Stephenie,Sepulveda,50000,BA2491A,Aterrizado,ExecutiveClass
135,Dunstan,Morales,20000,BA2491A,Aterrizado,ExecutiveClass
136,Gideon,Rodriguez,15000,BA2491A,Aterrizado,ExecutiveClass
137,Johnette,Lopez,10000,BA2491A,Aterrizado,ExecutiveClass
138,Brynn,Fuentes,50000,BA2491A,Aterrizado,ExecutiveClass
139,Yankee,Hernandez,42000,BA2491A,Aterrizado,ExecutiveClass
140,Corbin,Torres,42000,BA2491A,Aterrizado,ExecutiveClass
141,Coreen,Araya,18000,IB0800A,Aterrizado,EconomyClass
142,Tanya,Flores,30000,IB0800A,Aterrizado,EconomyClass
143,Jenna,Espinoza,25000,IB0800A,Aterrizado,EconomyClass
144,Flora,Valenzuela,33000,IB0800A,Aterrizado,EconomyClass
145,Dianna,Castillo,20000,IB0800A,Aterrizado,EconomyClass
146,Armand,Tapia,15000,IB0800A,Aterrizado,EconomyClass
147,Gustie,Reyes,42000,IB0800A,Aterrizado,EconomyClass
148,Benton,Gutierrez,12000,IB0800A,Aterrizado,EconomyClass
149,Lena,Castro,25000,IB0800A,Aterrizado,EconomyClass
150,Dot,Pizarro,18000,IB0800A,Aterrizado,EconomyClass
151,Meryl,Alvarez,12000,IB0800A,Aterrizado,EconomyClass
152,Babbie,Vasquez,15000,IB0800A,Aterrizado,EconomyClass
153,Byram,Sanchez,42000,IB0800A,Aterrizado,EconomyClass
154,Bertine,Fernandez,25000,IB0800A,Aterrizado,EconomyClass
155,Osbert,Ramirez,42000,IB0800A,Aterrizado,EconomyClass
156,Tanny,Carrasco,42000,IB0800A,Aterrizado,EconomyClass
157,Maryjo,Gomez,12000,IB0800A,Aterrizado,EconomyClass
158,Clarie,Cortes,42000,IB0800A,Aterrizado,EconomyClass
159,Kipp,Herrera,15000,IB0800A,Aterrizado,EconomyClass
160,Leonie,Nunez,50000,IB0800A,Aterrizado,EconomyClass
161,Ferdie,Jara,15000,IB0800A,Aterrizado,EconomyClass
162,Ofella,Vergara,50000,IB0800A,Aterrizado,EconomyClass
163,Pascale,Rivera,15000,IB0800A,Aterrizado,EconomyClass
164,Cathrin,Figueroa,30000,IB0800A,Aterrizado,EconomyClass
165,Sib,Riquelme,33000,IB0800A,Aterrizado,EconomyClass
166,Darleen,Garcia,42000,IB0800A,Aterrizado,EconomyClass
167,Didi,Miranda,15000,IB0800A,Aterrizado,EconomyClass
168,Lodovico,Bravo,18000,IB0800A,Aterrizado,EconomyClass
169,Farley,Vera,12000,IB0800A,Aterrizado,EconomyClass
170,Devi,Molina,25000,IB0800A,Aterrizado,EconomyClass
171,Clair,Vega,37000,IB0800A,Aterrizado,EconomyClass
172,Addy,Campos,33000,IB0800A,Aterrizado,EconomyClass
173,Brandon,Sandoval,18000,IB0800A,Aterrizado,EconomyClass
174,Prentiss,Orellana,30000,IB0800A,Aterrizado,EconomyClass
175,Lorant,Cardenas,50000,MM0987B,En Horario,ExecutiveClass
176,Wanids,Olivares,30000,MM0987B,En Horario,ExecutiveClass
177,Robbi,Alarcon,10000,MM0987B,En Horario,ExecutiveClass
178,Mellicent,Gallardo,50000,MM0987B,En Horario,ExecutiveClass
179,Lynea,Ortiz,20000,MM0987B,En Horario,ExecutiveClass
180,Nial,Garrido,15000,MM0987B,En Horario,ExecutiveClass
181,Guillaume,Salazar,37000,MM0987B,En Horario,ExecutiveClass
182,Loutitia,Guzman,25000,MM0987B,En Horario,ExecutiveClass
183,Ruthe,Henriquez,30000,MM0987B,En Horario,ExecutiveClass
184,Eric,Saavedra,50000,MM0987B,En Horario,ExecutiveClass
185,Marcellus,Navarro,30000,MM0987B,En Horario,ExecutiveClass
186,Ian,Aguilera,42000,MM0987B,En Horario,ExecutiveClass
187,Sebastien,Parra,37000,MM0987B,En Horario,ExecutiveClass
188,Scarface,Romero,50000,MM0987B,En Horario,ExecutiveClass
189,Maible,Aravena,18000,MM0987B,En Horario,ExecutiveClass
190,Waldon,Vargas,30000,MM0987B,En Horario,ExecutiveClass
191,Bethina,Vazquez,15000,MM0987B,En Horario,ExecutiveClass
192,Farand,Caceres,42000,MM0987B,En Horario,ExecutiveClass
193,Zolly,Yanez,25000,MM0987B,En Horario,ExecutiveClass
194,Philipa,Leiva,42000,TU6789B,Aterrizado,FirstClass
195,Roderigo,Escobar,20000,BA2491A,Aterrizado,ExecutiveClass
196,Otho,Ruiz,20000,BA2491A,Aterrizado,ExecutiveClass
197,Alasteir,Valdes,20000,BA2491A,Aterrizado,ExecutiveClass
198,Eleonora,Vidal,42000,BA2491A,Aterrizado,EconomyClass
199,Eliot,Salinas,12000,BA2491A,Aterrizado,EconomyClass
200,Alana,Zuniga,30000,BA2491A,Aterrizado,EconomyClass
201,Odey,Pena,20000,BA2491A,Aterrizado,EconomyClass
202,Yorke,Godoy,15000,BA2491A,Aterrizado,EconomyClass
203,Cissiee,Lagos,18000,BA2491A,Aterrizado,EconomyClass
204,Jillana,Maldonado,18000,BA2491A,Aterrizado,EconomyClass
205,Mallorie,Bustos,30000,TU6789B,Aterrizado,FirstClass
206,Borden,Medina,12000,TU6789B,Aterrizado,FirstClass
207,Maddie,Pino,33000,TU6789B,Aterrizado,FirstClass
208,Weider,Palma,50000,TU6789B,Aterrizado,FirstClass
209,Asia,Moreno,37000,TU6789B,Aterrizado,FirstClass
210,Sayres,Sanhueza,10000,TU6789B,Aterrizado,FirstClass
211,Marcile,Carvajal,30000,TU6789B,Aterrizado,FirstClass
212,Thomasina,Navarrete,42000,TU6789B,Aterrizado,FirstClass
213,Darwin,Saez,18000,TU6789B,Aterrizado,FirstClass
214,Nicolina,Alvarado,30000,TU6789B,Aterrizado,FirstClass
215,Nita,Donoso,12000,TU6789B,Aterrizado,FirstClass
216,Nikoletta,Poblete,12000,TU6789B,Aterrizado,FirstClass
217,Dwight,Bustamante,42000,TU6789B,Aterrizado,FirstClass
218,Romola,Toro,50000,TU6789B,Aterrizado,FirstClass
219,Kaile,Ortega,33000,TU6789B,Aterrizado,FirstClass
220,Mozes,Venegas,25000,TU6789B,Aterrizado,FirstClass
221,Aylmer,Guerrero,33000,TU6789B,Aterrizado,FirstClass
222,Marina,Mendoza,12000,TU6789B,Aterrizado,FirstClass
223,Enrico,Farias,50000,TU6789B,Aterrizado,FirstClass
224,Zonda,San Martin,33000,TU6789B,Aterrizado,FirstClass
225,Adriano,Gonzalez,33000,TU6789B,Aterrizado,FirstClass
226,Trula,Fernandez,30000,TU6789B,Aterrizado,FirstClass
227,Adel,Rodriguez,30000,TU6789B,Aterrizado,FirstClass
228,Jeniece,Lopez,15000,TU6789B,Aterrizado,FirstClass
229,Tabina,Martinez,10000,TU6789B,Aterrizado,FirstClass
230,Liana,Sanchez,33000,TU6789B,Aterrizado,FirstClass
231,Marmaduke,Perez,10000,BA2491A,Aterrizado,EconomyClass
232,Alla,Gomez,30000,BA2491A,Aterrizado,EconomyClass
233,Peter,Martin,12000,BA2491A,Aterrizado,EconomyClass
234,Pietro,Jimenez,18000,BA2491A,Aterrizado,EconomyClass
235,Hiram,Ruiz,20000,BA2491A,Aterrizado,EconomyClass
236,Anastasia,Hernandez,18000,BA2491A,Aterrizado,EconomyClass
237,Cathleen,Diaz,10000,TU6789B,Aterrizado,FirstClass
238,Leeanne,Moreno,15000,TU6789B,Aterrizado,FirstClass
239,Chet,Alvarez,42000,TU6789B,Aterrizado,FirstClass
240,Billie,Munoz,37000,TU6789B,Aterrizado,FirstClass
241,Alexandra,Romero,42000,TU6789B,Aterrizado,FirstClass
242,Broddie,Alonso,42000,TU6789B,Aterrizado,ExecutiveClass
243,Brigham,Gutierrez,25000,TU6789B,Aterrizado,ExecutiveClass
244,Cal,Navarro,42000,TU6789B,Aterrizado,ExecutiveClass
245,Donal,Torres,18000,TU6789B,Aterrizado,ExecutiveClass
246,Adam,Dominguez,20000,TU6789B,Aterrizado,ExecutiveClass
247,Dotty,Vazquez,42000,TU6789B,Aterrizado,ExecutiveClass
248,Maynard,Ramos,18000,TU6789B,Aterrizado,ExecutiveClass
249,Jessee,Gonzalez,30000,TU6789B,Aterrizado,ExecutiveClass
250,Tiphani,Munoz,42000,TU6789B,Aterrizado,ExecutiveClass
251,Jenna,Rojas,30000,TU6789B,Aterrizado,ExecutiveClass
252,Karlotte,Diaz,20000,BA2491A,Aterrizado,EconomyClass
253,Norene,Perez,25000,BA2491A,Aterrizado,EconomyClass
254,Morris,Soto,10000,BA2491A,Aterrizado,EconomyClass
255,Yuri,Contreras,25000,BA2491A,Aterrizado,EconomyClass
256,Gusty,Silva,10000,BA2491A,Aterrizado,EconomyClass
257,Jori,Martinez,12000,BA2491A,Aterrizado,EconomyClass
258,Sydelle,Sepulveda,30000,BA2491A,Aterrizado,EconomyClass
259,Merrile,Morales,50000,BA2491A,Aterrizado,EconomyClass
260,Tadd,Rodriguez,50000,TU6789B,Aterrizado,ExecutiveClass
261,Josiah,Lopez,10000,TU6789B,Aterrizado,ExecutiveClass
262,Melisa,Fuentes,12000,TU6789B,Aterrizado,ExecutiveClass
263,Orelee,Hernandez,20000,TU6789B,Aterrizado,ExecutiveClass
264,Stephen,Torres,37000,TU6789B,Aterrizado,ExecutiveClass
265,Blair,Araya,50000,TU6789B,Aterrizado,ExecutiveClass
266,Arel,Flores,30000,TU6789B,Aterrizado,ExecutiveClass
267,Abbie,Espinoza,25000,TU6789B,Aterrizado,ExecutiveClass
268,Channa,Valenzuela,50000,TU6789B,Aterrizado,ExecutiveClass
269,Shirl,Castillo,20000,TU6789B,Aterrizado,ExecutiveClass
270,Edlin,Tapia,20000,TU6789B,Aterrizado,ExecutiveClass
271,Larina,Reyes,18000,TU6789B,Aterrizado,ExecutiveClass
272,Duncan,Gutierrez,37000,TU6789B,Aterrizado,ExecutiveClass
273,Bond,Castro,10000,TU6789B,Aterrizado,ExecutiveClass
274,Dyann,Pizarro,50000,TU6789B,Aterrizado,ExecutiveClass
275,Charmian,Alvarez,15000,TU6789B,Aterrizado,ExecutiveClass
276,Dru,Vasquez,50000,TU6789B,Aterrizado,ExecutiveClass
277,Kiel,Sanchez,50000,TU6789B,Aterrizado,ExecutiveClass
278,Emory,Fernandez,15000,TU6789B,Aterrizado,ExecutiveClass
279,Alberik,Ramirez,50000,TU6789B,Aterrizado,ExecutiveClass
280,Koenraad,Carrasco,20000,TU6789B,Aterrizado,ExecutiveClass
281,Rafaellle,Gomez,50000,TU6789B,Aterrizado,ExecutiveClass
282,Edie,Cortes,25000,TU6789B,Aterrizado,ExecutiveClass
283,Osbert,Herrera,15000,TU6789B,Aterrizado,ExecutiveClass
284,Sidonia,Nunez,10000,TU6789B,Aterrizado,ExecutiveClass
285,Bartel,Jara,37000,TU6789B,Aterrizado,ExecutiveClass
286,Jodi,Vergara,30000,BA2491A,Aterrizado,EconomyClass
287,Ofelia,Rivera,30000,BA2491A,Aterrizado,EconomyClass
288,Dudley,Figueroa,42000,BA2491A,Aterrizado,EconomyClass
289,Dulcea,Riquelme,25000,BA2491A,Aterrizado,EconomyClass
290,Gordon,Garcia,25000,BA2491A,Aterrizado,EconomyClass
291,Chalmers,Miranda,10000,BA2491A,Aterrizado,EconomyClass
292,Christiano,Bravo,50000,BA2491A,Aterrizado,EconomyClass
293,Russell,Vera,50000,BA2491A,Aterrizado,EconomyClass
294,Cleo,Molina,50000,BA2491A,Aterrizado,EconomyClass
295,Catriona,Vega,42000,TU6789B,Aterrizado,ExecutiveClass
296,Leigh,Campos,37000,TU6789B,Aterrizado,ExecutiveClass
297,Ddene,Sandoval,12000,TU6789B,Aterrizado,ExecutiveClass
298,Sayre,Orellana,18000,TU6789B,Aterrizado,EconomyClass
299,Jody,Cardenas,33000,TU6789B,Aterrizado,EconomyClass
300,Zabrina,Olivares,12000,TU6789B,Aterrizado,EconomyClass
301,Cos,Alarcon,30000,TU6789B,Aterrizado,EconomyClass
302,Ron,Gallardo,20000,TU6789B,Aterrizado,EconomyClass
303,Charin,Ortiz,12000,TU6789B,Aterrizado,EconomyClass
304,Coleman,Garrido,33000,TU6789B,Aterrizado,EconomyClass
305,Jacinda,Salazar,50000,TU6789B,Aterrizado,EconomyClass
306,Silvan,Guzman,12000,TU6789B,Aterrizado,EconomyClass
307,Renie,Henriquez,33000,TU6789B,Aterrizado,EconomyClass
308,Davide,Saavedra,42000,TU6789B,Aterrizado,EconomyClass
309,Ernestus,Navarro,12000,TU6789B,Aterrizado,EconomyClass
310,Brnaba,Aguilera,37000,TU6789B,Aterrizado,EconomyClass
311,Tabor,Parra,37000,TU6789B,Aterrizado,EconomyClass
312,Lenci,Romero,42000,TU6789B,Aterrizado,EconomyClass
313,Franchot,Aravena,12000,TU6789B,Aterrizado,EconomyClass
314,Charisse,Vargas,50000,TU6789B,Aterrizado,EconomyClass
315,Timothea,Vazquez,20000,TU6789B,Aterrizado,EconomyClass
316,Angelika,Caceres,50000,BA2491A,Aterrizado,EconomyClass
317,Web,Yanez,37000,BA2491A,Aterrizado,EconomyClass
318,Urban,Leiva,10000,BA2491A,Aterrizado,EconomyClass
319,Fan,Escobar,18000,BA2491A,Aterrizado,EconomyClass
320,Donaugh,Ruiz,12000,BA2491A,Aterrizado,EconomyClass
321,Wilona,Valdes,25000,BA2491A,Aterrizado,EconomyClass
322,Richard,Vidal,42000,BA2491A,Aterrizado,EconomyClass
323,Hilary,Salinas,37000,BA2491A,Aterrizado,EconomyClass
324,’,Zuniga,33000,BA2491A,Aterrizado,EconomyClass
325,Maynord,Pena,42000,BA2491A,Aterrizado,EconomyClass
326,Lina,Godoy,12000,TU6789B,Aterrizado,EconomyClass
327,Nerty,Lagos,20000,TU6789B,Aterrizado,EconomyClass
328,Matias,Maldonado,33000,TU6789B,Aterrizado,EconomyClass
329,Urbano,Bustos,50000,TU6789B,Aterrizado,EconomyClass
330,Rosemarie,Medina,33000,TU6789B,Aterrizado,EconomyClass
331,Booth,Pino,15000,TU6789B,Aterrizado,EconomyClass
332,Eden,Palma,18000,TU6789B,Aterrizado,EconomyClass
333,Cornie,Moreno,15000,TU6789B,Aterrizado,EconomyClass
334,Isak,Sanhueza,20000,TU6789B,Aterrizado,EconomyClass
335,Rand,Carvajal,20000,TU6789B,Aterrizado,EconomyClass
336,Dominique,Navarrete,37000,TU6789B,Aterrizado,EconomyClass
337,Lira,Saez,30000,TU6789B,Aterrizado,EconomyClass
338,Filbert,Alvarado,20000,TU6789B,Aterrizado,EconomyClass
339,Nona,Donoso,30000,TU6789B,Aterrizado,EconomyClass
340,Melloney,Poblete,33000,TU6789B,Aterrizado,EconomyClass
341,Rafaello,Bustamante,37000,TU6789B,Aterrizado,EconomyClass
342,Floria,Toro,12000,TU6789B,Aterrizado,EconomyClass
343,Johannes,Ortega,18000,TU6789B,Aterrizado,EconomyClass
344,Genevra,Venegas,10000,TU6789B,Aterrizado,EconomyClass
345,Aldric,Guerrero,50000,TU6789B,Aterrizado,EconomyClass
346,Janeta,Mendoza,10000,TU6789B,Aterrizado,EconomyClass
347,Tarra,Farias,12000,TU6789B,Aterrizado,EconomyClass
348,Jefferey,San Martin,33000,TU6789B,Aterrizado,EconomyClass
349,Cassie,Gonzalez,50000,TU6789B,Aterrizado,EconomyClass
350,Maiga,Fernandez,20000,TU6789B,Aterrizado,EconomyClass
351,Heddi,Rodriguez,20000,TU6789B,Aterrizado,EconomyClass
352,Marieann,Lopez,50000,TU6789B,Aterrizado,EconomyClass
353,Carita,Martinez,42000,TU6789B,Aterrizado,EconomyClass
354,Kurtis,Sanchez,50000,TU6789B,Aterrizado,EconomyClass
355,Wilfred,Perez,20000,TU6789B,Aterrizado,EconomyClass
356,Isabelle,Gomez,20000,TU6789B,Aterrizado,EconomyClass
357,Nisse,Martin,37000,TU6789B,Aterrizado,EconomyClass
358,Ula,Jimenez,50000,TU6789B,Aterrizado,EconomyClass
359,Tully,Ruiz,18000,TU6789B,Aterrizado,EconomyClass
360,Honor,Hernandez,30000,TU6789B,Aterrizado,EconomyClass
361,Sinclair,Diaz,50000,TU6789B,Aterrizado,EconomyClass
362,Buddy,Moreno,50000,TU6789B,Aterrizado,EconomyClass
363,Neilla,Alvarez,50000,TU6789B,Aterrizado,EconomyClass
364,Junie,Munoz,20000,TU6789B,Aterrizado,EconomyClass
365,Neely,Romero,20000,TU6789B,Aterrizado,EconomyClass
366,Klarrisa,Alonso,18000,TU6789B,Aterrizado,EconomyClass
367,Maryellen,Gutierrez,37000,TU6789B,Aterrizado,EconomyClass
368,Clywd,Navarro,33000,TU6789B,Aterrizado,EconomyClass
369,Deni,Torres,42000,TU6789B,Aterrizado,EconomyClass
370,Ingrim,Dominguez,30000,TU6789B,Aterrizado,EconomyClass
371,Franni,Vazquez,42000,TU6789B,Aterrizado,EconomyClass
372,Andy,Ramos,37000,TU6789B,Aterrizado,EconomyClass
373,Veronica,Gonzalez,42000,TU6789B,Aterrizado,EconomyClass
374,Dalis,Munoz,42000,TU6789B,Aterrizado,EconomyClass
375,Nanni,Rojas,25000,BA2491A,Aterrizado,EconomyClass
376,Vikky,Diaz,15000,BA2491A,Aterrizado,EconomyClass
377,Hussein,Perez,25000,BA2491A,Aterrizado,EconomyClass
378,Brigg,Soto,10000,BA2491A,Aterrizado,EconomyClass
379,Crawford,Contreras,12000,BA2491A,Aterrizado,EconomyClass
380,Fran,Silva,30000,BA2491A,Aterrizado,EconomyClass
381,Silas,Martinez,15000,BA2491A,Aterrizado,EconomyClass
382,Alister,Sepulveda,33000,BA2491A,Aterrizado,EconomyClass
383,George,Morales,15000,TU6789B,Aterrizado,EconomyClass
384,Nonnah,Rodriguez,25000,TU6789B,Aterrizado,EconomyClass
385,Gayel,Lopez,20000,TU6789B,Aterrizado,EconomyClass
386,Demeter,Fuentes,10000,TU6789B,Aterrizado,EconomyClass
387,Juliann,Hernandez,50000,TU6789B,Aterrizado,EconomyClass
388,Shauna,Torres,25000,TU6789B,Aterrizado,EconomyClass
389,Anna-maria,Araya,42000,TU6789B,Aterrizado,EconomyClass
390,,Flores,50000,TU6789B,Aterrizado,EconomyClass
391,Sherwin,Espinoza,50000,MM0987B,En Horario,ExecutiveClass
392,Vikki,Valenzuela,33000,MM0987B,En Horario,ExecutiveClass
393,Barret,Castillo,10000,MM0987B,En Horario,ExecutiveClass
394,Gaelan,Tapia,25000,MM0987B,En Horario,ExecutiveClass
395,Livy,Reyes,20000,MM0987B,En Horario,ExecutiveClass
396,Iorgos,Gutierrez,18000,MM0987B,En Horario,ExecutiveClass
